provider,n_accounts,items_spanned,items_readable,n_benchmark_misses,total_eur,miss_eur,accounts
AWS,6,PSO_ITM_459:4 | PSO_ITM_506:1 | PSO_ITM_444:1,PSO_ITM_459=OpenHosting_Service | PSO_ITM_506=OpenHosting_Provided Compute | PSO_ITM_444=Content Management eXperience,4,378164.29,394925.15,openpaas-prod[PSO_ITM_506]€366169 ; openpaas-prod-ago-fr[PSO_ITM_444]€9585 ; openpaas-meta-prod[PSO_ITM_459]€1219 ; openpaas-audit[PSO_ITM_459]€839 ; openpaas-meta-prod-xlc[PSO_ITM_459]€215 ; openpaas-mtm-prod[PSO_ITM_459]€137
AWS,17,PSO_ITM_429:16 | PSO_ITM_436:1,PSO_ITM_429=MPI Service Fee | PSO_ITM_436=Managed File Share,2,6459.01,420.0,mpi-beta-4-network[PSO_ITM_429]€1196 ; mpi-beta-3-network[PSO_ITM_429]€1164 ; mpi-beta-1-network[PSO_ITM_429]€1119 ; mpi-beta-hotfix-network[PSO_ITM_429]€936 ; mpi-beta-1-tool[PSO_ITM_429]€728 ; mpi-beta-3-tool[PSO_ITM_429]€287 ; mpi-beta-1-storage[PSO_ITM_436]€210 ; mpi-beta-hotfix-tool[PSO_ITM_429]€188 ; mpi-beta-4-tool[PSO_ITM_429]€153 ; mpi-beta-3-storage[PSO_ITM_429]€115 ; mpi-beta-3-audit[PSO_ITM_429]€103 ; mpi-beta-1-audit[PSO_ITM_429]€66 ; mpi-beta-hotfix-audit[PSO_ITM_429]€51 ; mpi-beta-4-audit[PSO_ITM_429]€46 ; mpi-beta-4-storage[PSO_ITM_429]€33 ; mpi-beta-hotfix-managed-01[PSO_ITM_429]€32 ; mpi-beta-hotfix-storage[PSO_ITM_429]€32
AWS,4,PSO_ITM_1097:3 | XX_GDAI:1,XX_GDAI=(IT own Cloud consumption) | PSO_ITM_1097=Computable contracts,1,4362.91,157.45,axa-rev-prod[PSO_ITM_1097]€3879 ; axa-rev-nonprod[PSO_ITM_1097]€271 ; axa-rev-audit[XX_GDAI]€157 ; axa-rev-preprod[PSO_ITM_1097]€55
AWS,4,PSO_ITM_272:2 | XX_NETWORK:1 | PSO_ITM_429:1,PSO_ITM_272=Managed Public Cloud Foundations | XX_NETWORK=(IT own Cloud consumption) | PSO_ITM_429=MPI Service Fee,1,1387.81,127.08,go-awscc-network[XX_NETWORK]€1148 ; go-awscc-tool[PSO_ITM_429]€127 ; go-awscc-audit[PSO_ITM_272]€74 ; go-aws-cc-tool[PSO_ITM_272]€39
AWS,4,XX_TO:3 | PSO_ITM_541:1,XX_TO=(IT own Cloud consumption) | PSO_ITM_541=Data Integration Platform,2,1376.24,443.94,go-sm-euc1-apim-prod[XX_TO]€671 ; go-sm-apse1-apim-prod[XX_TO]€267 ; go-sm-euc2-apim-prod[PSO_ITM_541]€222 ; go-sm-apse3-apim-prod[XX_TO]€216
AWS,3,XX_CLOUDPRODUCTS:2 | XX_NETWORK:1,XX_CLOUDPRODUCTS=(IT own Cloud consumption) | XX_NETWORK=(IT own Cloud consumption),1,1108.6,956.43,go-sm-apse3-network-qjzkqu[XX_NETWORK]€956 ; go-sm-apse3-tool-qjzkqu[XX_CLOUDPRODUCTS]€103 ; go-sm-apse3-audit-qjzkqu[XX_CLOUDPRODUCTS]€49
AWS,4,PSO_ITM_429:2 | PSO_ITM_272:2,PSO_ITM_429=MPI Service Fee | PSO_ITM_272=Managed Public Cloud Foundations,1,470.36,55.81,laurent-tool[PSO_ITM_429]€360 ; laurent-audit[PSO_ITM_429]€56 ; laurent-tool-hac3bm[PSO_ITM_272]€34 ; laurent-audit-hac3bm[PSO_ITM_272]€21
AWS,3,PSO_ITM_429:2 | XX_NETWORK:1,PSO_ITM_429=MPI Service Fee | XX_NETWORK=(IT own Cloud consumption),2,458.96,735.87,mpi-common-network[XX_NETWORK]€368 ; mpi-common-tool[PSO_ITM_429]€49 ; mpi-common-audit[PSO_ITM_429]€42
AWS,2,PSO_ITM_272:1 | PSO_ITM_429:1,PSO_ITM_272=Managed Public Cloud Foundations | PSO_ITM_429=MPI Service Fee,2,153.0,153.0,nonprod-insights[PSO_ITM_272]€124 ; prod-insights[PSO_ITM_429]€29
AWS,4,PSO_ITM_272:3 | XX_CLOUDPRODUCTS:1,PSO_ITM_272=Managed Public Cloud Foundations | XX_CLOUDPRODUCTS=(IT own Cloud consumption),1,46.05,15.47,fgi-test2[XX_CLOUDPRODUCTS]€15 ; fgi-test6[PSO_ITM_272]€13 ; fgi-test5[PSO_ITM_272]€9 ; fgi-test-1[PSO_ITM_272]€9
